@relation /home/jopepato/Informatica/4Anio/IMC/practica4/dataset3.libsvm-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute att_1 numeric
@attribute att_2 numeric
@attribute class numeric

@data
{0 0.18,1 -0.93,2 1}
{0 0.198,1 -0.874,2 1}
{0 0.204,1 -0.868,2 1}
{0 0.204,1 -0.868,2 1}
{0 0.116,1 -0.944,2 1}
{0 0.238,1 -0.94,2 1}
{0 0.426,1 -0.934,2 1}
{0 0.424,1 -0.94,2 1}
{0 0.424,1 -0.94,2 1}
{0 0.242,1 -0.918,2 1}
{0 0.478,1 -0.788,2 1}
{0 0.466,1 -0.83,2 1}
{0 0.322,1 -0.712,2 1}
{0 0.38,1 -0.738,2 1}
{0 0.462,1 -0.738,2 1}
{0 0.538,1 -0.658,2 1}
{0 0.568,1 -0.6,2 1}
{0 0.494,1 -0.58,2 1}
{0 0.466,1 -0.64,2 1}
{0 0.514,1 -0.628,2 1}
{0 0.56,1 -0.586,2 1}
{0 0.592,1 -0.57,2 1}
{0 0.554,1 -0.552,2 1}
{0 0.548,1 -0.534,2 1}
{0 0.592,1 -0.69,2 1}
{0 0.628,1 -0.604,2 1}
{0 0.62,1 -0.556,2 1}
{0 0.58,1 -0.648,2 1}
{0 0.648,1 -0.67,2 1}
{0 0.698,1 -0.674,2 1}
{0 0.614,1 -0.836,2 1}
{0 0.566,1 -0.806,2 1}
{0 0.546,1 -0.728,2 1}
{0 0.518,1 -0.806,2 1}
{0 0.542,1 -0.872,2 1}
{0 0.554,1 -0.942,2 1}
{0 0.462,1 -0.96,2 1}
{0 0.358,1 -0.796,2 1}
{0 0.442,1 -0.796,2 1}
{0 0.398,1 -0.836,2 1}
{0 0.398,1 -0.866,2 1}
{0 0.356,1 -0.956,2 1}
{0 0.282,1 -0.98,2 1}
{0 0.608,1 -0.934,2 1}
{0 0.622,1 -0.938,2 1}
{0 0.64,1 -0.972,2 1}
{0 0.566,1 -0.974,2 1}
{0 0.696,1 -0.95,2 1}
{0 0.694,1 -0.938,2 1}
{0 0.708,1 -0.802,2 1}
{0 0.71,1 -0.854,2 1}
{0 0.746,1 -0.83,2 1}
{0 0.772,1 -0.872,2 1}
{0 0.776,1 -0.904,2 1}
{0 0.784,1 -0.926,2 1}
{0 0.812,1 -0.964,2 1}
{0 0.774,1 -0.968,2 1}
{0 0.756,1 -0.934,2 1}
{0 0.686,1 -0.886,2 1}
{0 0.652,1 -0.834,2 1}
{0 0.51,1 -0.698,2 1}
{0 0.418,1 -0.654,2 1}
{0 0.372,1 -0.688,2 1}
{0 0.29,1 -0.75,2 1}
{0 0.252,1 -0.81,2 1}
{0 0.198,1 -0.83,2 1}
{0 0.156,1 -0.896,2 1}
{0 0.424,1 -0.41,2 1}
{0 0.39,1 -0.404,2 1}
{0 0.352,1 -0.406,2 1}
{0 0.258,1 -0.28,2 1}
{0 0.186,1 -0.146,2 1}
{0 0.176,1 -0.562,2 1}
{0 0.132,1 -0.632,2 1}
{0 0.078,1 -0.356,2 1}
{0 0.816,1 -0.278,2 1}
{0 0.906,1 -0.322,2 1}
{0 0.776,1 -0.404,2 1}
{0 0.88,1 -0.7,2 1}
